,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,1.0,dakeche_zhixing.0,929.3816740391458,10994.156707939286,0.0,0.0,11.0,0.0,0.0,0.0,201.30838732051373,mainlane01,mainlane01_0,0.0,11.1
1,1.0,xiaokeche_zhixing.0,935.4268469797023,10999.318991491487,0.0,0.0,4.0,0.0,0.0,0.0,201.3442949470194,mainlane01,mainlane01_1,1.0,4.1
2,2.0,dakeche_zhixing.0,929.1626085555836,10993.595076968006,0.0,0.0,11.0,0.6021373438183218,0.0,0.6021373438183218,201.3083873205132,mainlane01,mainlane01_0,0.0,11.702137343818322
3,2.0,xiaokeche_zhixing.0,938.3268810174361,10996.442586251342,1.0273714752169325,0.0,4.0,1.6295088190352545,0.0,1.6295088190352545,201.32001591504024,mainlane01,mainlane01_2,2.0,5.729508819035254
4,2.0,xiaokeche_zhixing.1,935.4268469797023,10999.318991491487,-1.6295088190352545,0.0,4.0,0.0,0.0,0.0,201.3442949470194,mainlane01,mainlane01_1,1.0,4.1
5,3.0,dakeche_zhixing.0,928.5658269438522,10992.125138938904,0.0,0.0,11.0,1.5846954048145563,0.0,0.9825580609962344,201.42194803665257,mainlane01,mainlane01_0,0.0,13.286832748632879
6,3.0,xiaokeche_zhixing.0,936.9776250231262,10992.985492559255,2.1263619967270646,0.0,4.0,3.7110574015416207,0.0,2.0815485825063664,201.32001591504974,mainlane01,mainlane01_2,2.0,9.440566220576875
7,3.0,xiaokeche_zhixing.1,934.8299857521146,10997.79161164628,-2.0721556949894877,0.0,4.0,1.638901706552133,0.0,1.638901706552133,201.3442949470194,mainlane01,mainlane01_1,1.0,5.738901706552133
8,3.0,xiaokeche_zhixing.2,942.4118131299082,10996.602190224621,-1.638901706552133,0.0,4.0,0.0,0.0,0.0,201.29589680860306,mainlane01,mainlane01_3,3.0,4.1
9,3.0,xiaokeche_zhixing.3,945.9103115763141,10995.23534531683,0.0,0.0,4.0,0.0,0.0,0.0,201.3315023557383,mainlane01,mainlane01_4,4.0,4.1
