,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,1.0,dakeche.0,11.1,-1.6,0.0,0.0,11.0,0.0,0.0,0.0,90.0,H,H_4,4.0,11.1
1,1.0,daxinghuoche.0,13.100000000000001,-11.2,0.0,0.0,13.0,0.0,0.0,0.0,90.0,H,H_1,1.0,13.1
2,1.0,xiaokeche.0,4.1,-14.4,0.0,0.0,4.0,0.0,0.0,0.0,90.0,H,H_0,0.0,4.1
3,1.0,xiaoxinghuoche.0,6.1,-4.8,0.0,0.0,6.0,0.0,0.0,0.0,90.0,H,H_3,3.0,6.1
4,1.0,zhongxinghuoche.0,9.7,-8.0,0.0,0.0,9.6,0.0,0.0,0.0,90.0,H,H_2,2.0,9.7
5,2.0,dakeche.0,13.129624383477495,-1.6,0.0,0.0,11.0,2.0296243834774943,0.0,2.0296243834774943,90.0,H,H_4,4.0,13.129624383477495
6,2.0,daxinghuoche.0,14.398178090306466,-11.2,-0.7314462931710297,0.0,13.0,1.2981780903064646,0.0,1.2981780903064646,90.0,H,H_1,1.0,14.398178090306464
7,2.0,xiaokeche.0,5.5416886697057635,-14.4,0.143510579399299,0.0,4.0,1.4416886697057636,0.0,1.4416886697057636,90.0,H,H_0,0.0,5.5416886697057635
8,2.0,xiaoxinghuoche.0,7.270017616753465,-4.8,-0.2716710529522972,0.0,6.0,1.1700176167534664,0.0,1.1700176167534664,90.0,H,H_3,3.0,7.270017616753466
9,2.0,zhongxinghuoche.0,10.575326415442396,-8.0,-0.2946912013110704,0.0,9.6,0.875326415442396,0.0,0.875326415442396,90.0,H,H_2,2.0,10.575326415442396
10,3.0,dakeche.0,17.113674520957286,-1.6,0.0,0.0,11.0,3.98405013747979,0.0,1.9544257540022958,90.0,H,H_4,4.0,17.113674520957286
11,3.0,daxinghuoche.0,16.79395517867524,-11.2,-1.588273049111013,0.0,13.0,2.395777088368777,0.0,1.0975989980623124,90.0,H,H_1,1.0,16.79395517867524
12,3.0,xiaokeche.0,8.657135966210626,-14.4,0.7196702081360855,0.0,4.0,3.1154472965048625,0.0,1.673758626799099,90.0,H,H_0,0.0,8.657135966210626
13,3.0,xiaoxinghuoche.0,9.160779289773199,-4.8,-1.2246856234851293,0.0,6.0,1.8907616730197332,0.0,0.7207440562662668,90.0,H,H_3,3.0,9.160779289773199
14,3.0,zhongxinghuoche.0,12.403746839135419,-8.0,-0.06234124932670948,0.0,9.6,1.8284204236930237,0.0,0.9530940082506277,90.0,H,H_2,2.0,12.403746839135419
15,4.0,dakeche.0,23.65662702689879,-1.6,0.0,0.0,11.0,6.5429525059415035,0.0,2.5589023684617134,90.0,H,H_4,4.0,23.65662702689879
16,4.0,daxinghuoche.0,20.031022264622152,-11.2,-3.3058854199945937,0.0,13.0,3.2370670859469097,0.0,0.8412899975781327,90.0,H,H_1,1.0,20.031022264622152
17,4.0,xiaokeche.0,14.313460015063177,-14.4,2.4192569629056386,0.0,4.0,5.656324048852548,0.0,2.540876752347686,90.0,H,H_0,0.0,14.313460015063175
18,4.0,xiaoxinghuoche.0,12.27734297363786,-4.8,-2.5397603649878877,0.0,6.0,3.1165636838646606,0.0,1.2258020108449275,90.0,H,H_3,3.0,12.27734297363786
19,4.0,zhongxinghuoche.0,15.277027204155456,-8.0,-0.2432833188446235,0.0,9.6,2.873280365020037,0.0,1.0448599413270134,90.0,H,H_2,2.0,15.277027204155456
20,5.0,dakeche.0,31.926869372185323,-1.6,0.0,0.0,11.0,8.270242345286533,0.0,1.7272898393450298,90.0,H,H_4,4.0,31.926869372185323
21,5.0,dakeche.1,11.1,-1.6,-8.270242345286533,0.0,11.0,0.0,0.0,0.0,90.0,H,H_4,4.0,11.1
22,5.0,daxinghuoche.0,24.140822494309397,-11.2,4.109800229687243,0.0,13.0,4.109800229687243,0.0,0.8727331437403336,90.0,H,H_1,1.0,24.140822494309397
23,5.0,xiaokeche.0,21.93090530233458,-14.4,3.50764505758416,0.0,4.0,7.617445287271403,0.0,1.9611212384188548,90.0,H,H_0,0.0,21.93090530233458
24,5.0,xiaoxinghuoche.0,16.32434216910042,-4.8,-3.5704460918088445,0.0,6.0,4.046999195462559,0.0,0.930435511597898,90.0,H,H_3,3.0,16.32434216910042
25,5.0,xiaoxinghuoche.1,6.1,-4.8,-4.046999195462559,0.0,6.0,0.0,0.0,0.0,90.0,H,H_3,3.0,6.1
26,5.0,zhongxinghuoche.0,18.941907184722368,-8.0,3.664879980566912,0.0,9.6,3.664879980566912,0.0,0.791599615546875,90.0,H,H_2,2.0,18.941907184722368
27,6.0,dakeche.0,41.62005183026195,-1.6,0.0,0.0,11.0,9.693182458076626,0.0,1.4229401127900925,90.0,H,H_4,4.0,41.62005183026195
28,6.0,dakeche.1,12.780069718719462,-1.6,-8.013112739357165,0.0,11.0,1.68006971871946,0.0,1.68006971871946,90.0,H,H_4,4.0,12.78006971871946
29,6.0,daxinghuoche.0,29.106848200992687,-11.2,3.2859559879638254,0.0,13.0,4.966025706683285,0.0,0.856225476996042,90.0,H,H_1,1.0,29.106848200992683
30,6.0,daxinghuoche.1,13.100000000000001,-11.2,-4.966025706683285,0.0,13.0,0.0,0.0,0.0,90.0,H,H_1,1.0,13.1
31,6.0,tedaxinghuoche.0,16.1,-14.4,0.0,0.0,16.0,0.0,0.0,0.0,90.0,H,H_0,0.0,16.1
32,6.0,xiaokeche.0,31.38140935478732,-14.4,9.450504052452743,0.0,4.0,9.450504052452743,0.0,1.83305876518134,90.0,H,H_0,0.0,31.381409354787323
33,6.0,xiaoxinghuoche.0,21.522355517430697,-4.8,-4.252490704122465,0.0,6.0,5.198013348330278,0.0,1.1510141528677194,90.0,H,H_3,3.0,21.522355517430697
34,6.0,xiaoxinghuoche.1,7.149189363990445,-4.8,-4.148823984339833,0.0,6.0,1.0491893639904446,0.0,1.0491893639904446,90.0,H,H_3,3.0,7.149189363990445
35,6.0,zhongxinghuoche.0,23.40316773810191,-8.0,3.4120711893890987,0.0,9.6,4.461260553379543,0.0,0.7963805728126312,90.0,H,H_2,2.0,23.40316773810191
36,6.0,zhongxinghuoche.1,9.7,-8.0,-4.461260553379543,0.0,9.6,0.0,0.0,0.0,90.0,H,H_2,2.0,9.7
37,7.0,dakeche.0,52.97357506530825,-1.6,0.0,0.0,11.0,11.353523235046303,0.0,1.6603407769696776,90.0,H,H_4,4.0,52.97357506530825
38,7.0,dakeche.1,15.849318603402935,-1.6,-8.284274350362828,0.0,11.0,3.069248884683475,0.0,1.389179165964015,90.0,H,H_4,4.0,15.849318603402935
39,7.0,daxinghuoche.0,34.757303555833644,-11.2,2.5812064701574853,0.0,13.0,5.65045535484096,0.0,0.6844296481576748,90.0,H,H_1,1.0,34.757303555833644
40,7.0,daxinghuoche.1,13.926269206758388,-11.2,-4.824186148082573,0.0,13.0,0.8262692067583877,0.0,0.8262692067583877,90.0,H,H_1,1.0,13.926269206758388
