,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,1,dakeche.0,11.1,-1.6,0,0,11,0,0,0,90,H,H_4,4,11.1
1,1,daxinghuoche.0,13.1,-11.2,0,0,13,0,0,0,90,H,H_1,1,13.1
2,1,xiaokeche.0,4.1,-14.4,0,0,4,0,0,0,90,H,H_0,0,4.1
3,1,xiaoxinghuoche.0,6.1,-4.8,0,0,6,0,0,0,90,H,H_3,3,6.1
4,1,zhongxinghuoche.0,9.7,-8,0,0,9.6,0,0,0,90,H,H_2,2,9.7
5,2,dakeche.0,13.12962438,-1.6,0,0,11,2.029624383,0,2.029624383,90,H,H_4,4,13.12962438
6,2,daxinghuoche.0,14.39817809,-11.2,-0.731446293,0,13,1.29817809,0,1.29817809,90,H,H_1,1,14.39817809
7,2,xiaokeche.0,5.54168867,-14.4,0.143510579,0,4,1.44168867,0,1.44168867,90,H,H_0,0,5.54168867
8,2,xiaoxinghuoche.0,7.270017617,-4.8,-0.271671053,0,6,1.170017617,0,1.170017617,90,H,H_3,3,7.270017617
9,2,zhongxinghuoche.0,10.57532642,-8,-0.294691201,0,9.6,0.875326415,0,0.875326415,90,H,H_2,2,10.57532642
10,3,dakeche.0,17.11367452,-1.6,0,0,11,3.984050137,0,1.954425754,90,H,H_4,4,17.11367452
11,3,daxinghuoche.0,16.79395518,-11.2,-1.588273049,0,13,2.395777088,0,1.097598998,90,H,H_1,1,16.79395518
12,3,xiaokeche.0,8.657135966,-14.4,0.719670208,0,4,3.115447297,0,1.673758627,90,H,H_0,0,8.657135966
13,3,xiaoxinghuoche.0,9.16077929,-4.8,-1.224685623,0,6,1.890761673,0,0.720744056,90,H,H_3,3,9.16077929
14,3,zhongxinghuoche.0,12.40374684,-8,-0.062341249,0,9.6,1.828420424,0,0.953094008,90,H,H_2,2,12.40374684
15,4,dakeche.0,23.65662703,-1.6,0,0,11,6.542952506,0,2.558902368,90,H,H_4,4,23.65662703
16,4,daxinghuoche.0,20.03102226,-11.2,-3.30588542,0,13,3.237067086,0,0.841289998,90,H,H_1,1,20.03102226
17,4,xiaokeche.0,14.31346002,-14.4,2.419256963,0,4,5.656324049,0,2.540876752,90,H,H_0,0,14.31346002
18,4,xiaoxinghuoche.0,12.27734297,-4.8,-2.539760365,0,6,3.116563684,0,1.225802011,90,H,H_3,3,12.27734297
19,4,zhongxinghuoche.0,15.2770272,-8,-0.243283319,0,9.6,2.873280365,0,1.044859941,90,H,H_2,2,15.2770272
20,5,dakeche.0,31.92686937,-1.6,0,0,11,8.270242345,0,1.727289839,90,H,H_4,4,31.92686937
21,5,dakeche.1,11.1,-1.6,-8.270242345,0,11,0,0,0,90,H,H_4,4,11.1
22,5,daxinghuoche.0,24.14082249,-11.2,4.10980023,0,13,4.10980023,0,0.872733144,90,H,H_1,1,24.14082249
23,5,xiaokeche.0,21.9309053,-14.4,3.507645058,0,4,7.617445287,0,1.961121238,90,H,H_0,0,21.9309053
24,5,xiaoxinghuoche.0,16.32434217,-4.8,-3.570446092,0,6,4.046999195,0,0.930435512,90,H,H_3,3,16.32434217
25,5,xiaoxinghuoche.1,6.1,-4.8,-4.046999195,0,6,0,0,0,90,H,H_3,3,6.1
26,5,zhongxinghuoche.0,18.94190718,-8,3.664879981,0,9.6,3.664879981,0,0.791599616,90,H,H_2,2,18.94190718
27,6,dakeche.0,41.62005183,-1.6,0,0,11,9.693182458,0,1.422940113,90,H,H_4,4,41.62005183
28,6,dakeche.1,12.78006972,-1.6,-8.013112739,0,11,1.680069719,0,1.680069719,90,H,H_4,4,12.78006972
29,6,daxinghuoche.0,29.1068482,-11.2,3.285955988,0,13,4.966025707,0,0.856225477,90,H,H_1,1,29.1068482
30,6,daxinghuoche.1,13.1,-11.2,-4.966025707,0,13,0,0,0,90,H,H_1,1,13.1
31,6,tedaxinghuoche.0,16.1,-14.4,0,0,16,0,0,0,90,H,H_0,0,16.1
32,6,xiaokeche.0,31.38140935,-14.4,9.450504052,0,4,9.450504052,0,1.833058765,90,H,H_0,0,31.38140935
33,6,xiaoxinghuoche.0,21.52235552,-4.8,-4.252490704,0,6,5.198013348,0,1.151014153,90,H,H_3,3,21.52235552
34,6,xiaoxinghuoche.1,7.149189364,-4.8,-4.148823984,0,6,1.049189364,0,1.049189364,90,H,H_3,3,7.149189364
35,6,zhongxinghuoche.0,23.40316774,-8,3.412071189,0,9.6,4.461260553,0,0.796380573,90,H,H_2,2,23.40316774
36,6,zhongxinghuoche.1,9.7,-8,-4.461260553,0,9.6,0,0,0,90,H,H_2,2,9.7
37,7,dakeche.0,52.97357507,-1.6,0,0,11,11.35352324,0,1.660340777,90,H,H_4,4,52.97357507
38,7,dakeche.1,15.8493186,-1.6,-8.28427435,0,11,3.069248885,0,1.389179166,90,H,H_4,4,15.8493186
39,7,daxinghuoche.0,34.75730356,-11.2,2.58120647,0,13,5.650455355,0,0.684429648,90,H,H_1,1,34.75730356
40,7,daxinghuoche.1,13.92626921,-11.2,-4.824186148,0,13,0.826269207,0,0.826269207,90,H,H_1,1,13.92626921
41,7,tedaxinghuoche.0,16.79120844,-14.4,-0.135060766,0,16,0.691208441,0,0.691208441,90,H,H_0,0,16.79120844
42,7,xiaokeche.0,43.37521802,-14.4,11.30260023,0,4,11.99380867,0,2.543304615,90,H,H_0,0,43.37521802
43,7,xiaoxinghuoche.0,27.43853744,-4.8,-6.077626743,0,6,5.916181925,0,0.718168576,90,H,H_3,3,27.43853744
44,7,xiaoxinghuoche.1,9.080554707,-4.8,-3.984816581,0,6,1.931365343,0,0.882175979,90,H,H_3,3,9.080554707
45,7,zhongxinghuoche.0,28.90825951,-8,3.573726426,0,9.6,5.50509177,0,1.043831217,90,H,H_2,2,28.90825951
46,7,zhongxinghuoche.1,10.57030178,-8,-4.634789993,0,9.6,0.870301777,0,0.870301777,90,H,H_2,2,10.57030178
47,8,dakeche.0,66.07687094,-1.6,0,0,11,13.10329587,0,1.749772635,90,H,H_4,4,66.07687094
48,8,dakeche.1,21.03707878,-1.6,-7.91553569,0,11,5.187760181,0,2.118511296,90,H,H_4,4,21.03707878
49,8,daxinghuoche.0,41.20218778,-11.2,1.25712404,0,13,6.444884221,0,0.794428866,90,H,H_1,1,41.20218778
50,8,daxinghuoche.1,16.00266364,-11.2,-4.368489782,0,13,2.076394438,0,1.250125231,90,H,H_1,1,16.00266364
51,8,tedaxinghuoche.0,18.28251551,-14.4,-0.585087373,0,16,1.491307065,0,0.800098624,90,H,H_0,0,18.28251551
52,8,xiaokeche.0,57.64727602,-14.4,12.78075093,0,4,14.272058,0,2.278249332,90,H,H_0,0,57.64727602
53,8,xiaoxinghuoche.0,34.09224408,-4.8,-7.618351358,0,6,6.653706641,0,0.737524717,90,H,H_3,3,34.09224408
54,8,xiaoxinghuoche.1,11.75483702,-4.8,-3.979424329,0,6,2.674282312,0,0.742916969,90,H,H_3,3,11.75483702
55,8,zhongxinghuoche.0,35.45644364,-8,3.873901819,0,9.6,6.548184131,0,1.043092361,90,H,H_2,2,35.45644364
56,8,zhongxinghuoche.1,12.52251709,-8,-4.59596882,0,9.6,1.952215311,0,1.081913534,90,H,H_2,2,12.52251709
57,9,dakeche.0,80.55327471,-1.6,0,0,11,14.47640378,0,1.373107908,90,H,H_4,4,80.55327471
58,9,dakeche.1,28.24359532,-1.6,-7.26988724,0,11,7.206516539,0,2.018756358,90,H,H_4,4,28.24359532
59,9,dakeche.2,11.1,-1.6,-7.206516539,0,11,0,0,0,90,H,H_4,4,11.1
60,9,daxinghuoche.0,48.50752473,-11.2,7.305336957,0,13,7.305336957,0,0.860452736,90,H,H_1,1,48.50752473
61,9,daxinghuoche.1,19.08619051,-11.2,-4.221810093,0,13,3.083526864,0,1.007132426,90,H,H_1,1,19.08619051
62,9,tedaxinghuoche.0,20.87050327,-14.4,-0.495539098,0,16,2.587987766,0,1.096680701,90,H,H_0,0,20.87050327
63,9,xiaokeche.0,73.55067873,-14.4,13.31541494,0,4,15.90340271,0,1.631344708,90,H,H_0,0,73.55067873
64,9,xiaoxinghuoche.0,41.52334105,-4.8,-8.472305744,0,6,7.431096964,0,0.777390323,90,H,H_3,3,41.52334105
65,9,xiaoxinghuoche.1,15.63126253,-4.8,-3.554671456,0,6,3.876425508,0,1.202143196,90,H,H_3,3,15.63126253
66,9,xiaoxinghuoche.2,6.1,-4.8,-3.876425508,0,6,0,0,0,90,H,H_3,3,6.1
67,9,zhongxinghuoche.0,42.98822891,-8,7.531785271,0,9.6,7.531785271,0,0.98360114,90,H,H_2,2,42.98822891
68,9,zhongxinghuoche.1,15.43663894,-8,-4.617663418,0,9.6,2.914121853,0,0.961906542,90,H,H_2,2,15.43663894
69,10,dakeche.0,96.78412362,-1.6,0,0,11,16.23084891,0,1.754445131,90,H,H_4,4,96.78412362
70,10,dakeche.1,36.88582894,-1.6,-7.588615295,0,11,8.642233615,0,1.435717076,90,H,H_4,4,36.88582894
71,10,dakeche.2,12.85786766,-1.6,-6.884365951,0,11,1.757867664,0,1.757867664,90,H,H_4,4,12.85786766
72,10,daxinghuoche.0,56.6093524,-11.2,6.343959998,0,13,8.101827662,0,0.796490705,90,H,H_1,1,56.6093524
73,10,daxinghuoche.1,23.28239674,-11.2,-3.905621427,0,13,4.196206235,0,1.112679371,90,H,H_1,1,23.28239674
74,10,tedaxinghuoche.0,24.30210035,-14.4,-0.764609159,0,16,3.431597076,0,0.843609311,90,H,H_0,0,24.30210035
75,10,xiaokeche.0,91.17917637,-14.4,14.19690056,0,4,17.62849764,0,1.725094927,90,H,H_0,0,91.17917637
76,10,xiaokeche.1,4.1,-14.4,-17.62849764,0,4,0,0,0,90,H,H_0,0,4.1
77,10,xiaoxinghuoche.0,50.03202452,-4.8,8.508683475,0,6,8.508683475,0,1.077586511,90,H,H_3,3,50.03202452
78,10,xiaoxinghuoche.1,20.52375648,-4.8,-3.616189518,0,6,4.892493956,0,1.016068448,90,H,H_3,3,20.52375648
79,10,xiaoxinghuoche.2,6.803170897,-4.8,-4.18932306,0,6,0.703170897,0,0.703170897,90,H,H_3,3,6.803170897
80,10,zhongxinghuoche.0,51.51109726,-8,7.819697449,0,9.6,8.522868345,0,0.991083074,90,H,H_2,2,51.51109726
81,10,zhongxinghuoche.1,19.05362128,-8,-4.905886005,0,9.6,3.61698234,0,0.702860487,90,H,H_2,2,19.05362128
82,11,dakeche.1,46.94906053,-1.6,0,0,11,10.06323159,0,1.420997976,90,H,H_4,4,46.94906053
83,11,dakeche.2,17.17678408,-1.6,-5.744315175,0,11,4.318916416,0,2.561048752,90,H,H_4,4,17.17678408
84,11,daxinghuoche.0,65.47640706,-11.2,4.548138246,0,13,8.867054662,0,0.765227,90,H,H_1,1,65.47640706
